,name_x,name_y,value,source,target
647,DIJ21,SVL1000,4,112.0,45.0
648,DIJ21,AB454,4,112.0,85.0
649,DIJ21,PJB91,2,112.0,47.0
650,DIJ21,RMM32,4,112.0,48.0
651,FR269,SVL1000,3,215.0,45.0
652,FR269,AB454,3,215.0,85.0
653,FR269,PJB91,2,215.0,47.0
654,FR269,RMM32,3,215.0,48.0
655,SVL1000,AB454,10,45.0,85.0
656,AB454,PJB91,12,85.0,47.0
657,AB454,RMM32,7,85.0,48.0
658,clab0101,immd0330,15,95.0,167.0
659,immd0330,clab0035,8,167.0,32.0
660,dpag0074,ocms0037,5,216.0,230.0
661,immd0330,phpc0228,2,167.0,206.0
662,immd0330,phpc0367,2,167.0,273.0
663,clab0035,immd0330,10,32.0,167.0
664,whgu0085,clme0237,4,189.0,77.0
665,whgu0085,immd0036,2,189.0,217.0
666,clme0237,immd0036,4,77.0,217.0
667,immd0036,immd0151,3,217.0,29.0
668,whgu0172,chem0068,2,1.0,162.0
669,immd0330,clme0975,2,167.0,31.0
670,card0039,card0025,8,25.0,23.0
671,card0018,card0025,6,24.0,23.0
672,clab0101,immd0024,5,95.0,68.0
673,clab0035,immd0024,5,32.0,68.0
674,clme0621,bioc0416,2,169.0,134.0
675,clme0301,lina0435,9,180.0,166.0
676,clme0149,zool0768,2,65.0,334.0
677,immd0499,clme0494,2,218.0,27.0
678,immd0499,wolf1917,2,218.0,195.0
679,bioc1078,bioc0764,3,219.0,309.0
680,raob0051,raob0168,4,153.0,192.0
681,raob0051,clar0295,2,153.0,643.0
682,raob0168,clar0295,2,192.0,643.0
683,APD10,TDF21,3,179.0,28.0
684,TK218,SB10031,2,220.0,141.0
685,claridge,univ1923,12,97.0,98.0
686,st321,ARV22,3,19.0,99.0
687,st321,KDH29,4,19.0,174.0
688,st321,SP577,5,19.0,69.0
689,st321,CW209,6,19.0,70.0
690,st321,SJP58,3,19.0,241.0
691,ARV22,KDH29,2,99.0,174.0
692,ARV22,SP577,2,99.0,69.0
693,ARV22,CW209,3,99.0,70.0
694,ARV22,SJP58,3,99.0,241.0
695,KDH29,SP577,2,174.0,69.0
696,KDH29,CW209,2,174.0,70.0
697,KDH29,SJP58,2,174.0,241.0
698,EDL1,DK10012,6,129.0,233.0
699,immd0023,clme0219,5,201.0,81.0
700,engs0357,radi0003,7,221.0,7.0
701,engs0357,clne0102,1,221.0,142.0
702,radi0003,clne0102,4,7.0,142.0
703,chem0489,whgu0142,2,119.0,40.0
704,ndos0461,PP10001,3,9.0,16.0
705,clme0667,raob0097,3,106.0,21.0
706,clme0670,raob0097,7,62.0,21.0
707,ARV22,DJH210,4,99.0,222.0
708,DJH210,DRS36,4,222.0,331.0
709,immd0024,clme0195,2,68.0,175.0
710,immd0024,immd0075,2,68.0,208.0
711,clme0195,path0511,2,175.0,60.0
712,path0511,immd0075,2,60.0,208.0
713,stat0004,card0027,4,49.0,117.0
714,LV225,ERC24,2,86.0,108.0
715,whgu0172,immd0100,6,1.0,82.0
716,CC234,BG200,2,13.0,186.0
717,CC234,ARG1000,4,13.0,91.0
718,CC234,DGK23,2,13.0,204.0
719,JG473,PC245,2,177.0,197.0
720,JG473,KH387,2,177.0,6.0
721,PC245,KH387,3,197.0,6.0
